Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Rox_Goal_E, Goal: Rox_Goal_R, Goal: Rox_Goal_F
152,0,0,95,0, 39.79518,1,0,0,0
153,1,0,96,0, 40.46308,1,0,0,0
154,1,0,97,0, 39.51571,1,0,0,0
155,0,1,97,2, 39.4841,1,0,2,0
156,0,0,96,0, 38.58883,1,0,2,0
157,0,0,96,0, 37.68917,1,0,2,0
158,1,0,97,0, 37.40913,1,0,2,0
159,0,0,97,0, 37.5665,1,0,2,0
160,2,0,99,0, 37.06025,1,0,2,0
161,1,0,100,0, 38.27129,1,0,2,0
162,0,0,100,0, 39.58298,1,0,2,0
163,2,1,102,1, 39.629,1,0,2,1
164,0,0,101,0, 39.28559,1,0,2,1
165,0,0,101,0, 40.99333,1,0,2,1
166,1,0,102,0, 40.7636,1,0,2,1
167,0,0,102,0, 40.7636,1,0,2,1
168,0,0,102,0, 40.499,1,0,2,1
169,1,0,103,0, 39.15952,1,0,2,1
170,2,0,105,0, 38.05154,1,0,2,1
171,2,0,107,0, 38.62713,1,0,2,1
172,1,0,108,0, 40.68435,1,0,2,1
173,1,0,109,0, 39.94574,1,0,2,1
174,1,0,110,0, 39.84107,1,0,2,1
175,1,0,111,0, 40.28096,1,0,2,1
176,0,0,111,0, 39.97239,1,0,2,1
177,0,0,111,0, 39.67897,1,0,2,1
178,2,0,113,0, 39.71524,1,0,2,1
179,0,0,113,0, 39.70626,1,0,2,1
180,0,0,113,0, 39.93267,1,0,2,1
181,1,0,114,0, 39.59585,1,0,2,1
182,0,0,114,0, 38.55105,1,0,2,1
183,1,0,115,0, 38.08106,1,0,2,1
184,0,1,115,2, 37.24425,1,0,2,3
185,1,0,115,0, 38.18735,1,0,2,3
186,1,0,116,0, 37.27533,1,0,2,3
187,1,0,117,0, 38.85616,1,0,2,3
188,0,0,117,0, 38.10563,1,0,2,3
189,0,0,117,0, 37.83287,1,0,2,3
190,0,0,117,0, 38.94352,1,0,2,3
191,0,0,117,0, 39.08497,1,0,2,3
192,0,0,117,0, 38.88426,1,0,2,3
193,1,0,118,0, 36.91909,1,0,2,3
194,2,0,120,0, 37.30268,1,0,2,3
195,1,0,121,0, 37.22509,1,0,2,3
196,0,1,121,3, 36.76547,1,0,2,6
197,2,0,122,0, 37.42118,1,0,2,6
198,0,0,122,0, 38.12795,1,0,2,6
199,3,0,125,0, 38.04441,1,0,2,6
200,0,0,125,0, 38.26772,1,0,2,6
201,1,0,126,0, 37.70267,1,0,2,6
202,5,0,131,0, 38.1346,1,0,2,6
203,1,0,132,0, 37.51514,1,0,2,6
204,2,0,134,0, 37.83385,1,0,2,6
205,1,1,135,2, 37.68484,1,0,2,8
206,3,0,137,0, 37.94735,1,0,2,8
207,0,0,137,0, 38.36213,1,0,2,8
208,2,1,139,1, 38.42675,1,0,2,9
209,1,0,139,0, 38.4707,1,0,2,9
210,2,0,141,0, 38.81474,1,0,2,9
211,0,1,141,5, 39.11146,1,0,7,9
212,2,0,142,0, 38.40616,1,0,7,9
213,1,0,143,0, 37.64299,1,0,7,9
214,0,0,143,0, 38.21897,1,0,7,9
215,2,1,145,5, 38.14629,1,0,12,9
216,1,0,145,0, 38.63119,1,0,12,9
217,0,0,145,0, 39.43075,1,0,12,9
218,2,0,147,0, 39.49319,1,0,12,9
219,3,0,150,0, 38.76015,1,0,12,9
220,0,0,150,0, 37.55555,1,0,12,9
221,2,0,152,0, 37.24851,1,0,12,9
222,1,0,153,0, 36.9623,1,0,12,9
223,3,0,156,0, 35.36714,1,0,12,9
224,2,0,158,0, 35.68414,1,0,12,9
225,0,0,158,0, 37.28273,1,0,12,9
226,0,0,158,0, 37.94177,1,0,12,9
227,2,0,160,0, 38.30916,1,0,12,9
228,0,0,160,0, 37.81382,1,0,12,9
229,0,0,160,0, 37.24368,1,0,12,9
230,3,0,163,0, 37.94447,1,0,12,9
231,0,0,163,0, 38.04037,1,0,12,9
232,1,0,164,0, 37.97358,1,0,12,9
233,2,0,166,0, 37.98923,1,0,12,9
234,4,0,170,0, 37.97215,1,0,12,9
235,0,1,170,1, 37.87656,1,0,12,10
236,2,2,171,4, 37.06327,1,0,12,14
237,4,0,173,0, 37.08443,1,0,12,14
238,2,0,175,0, 37.73507,1,0,12,14
239,3,0,178,0, 37.95965,1,0,12,14
240,0,1,178,2, 37.28661,1,0,12,16
241,2,0,179,0, 36.92007,1,0,12,16
242,3,0,182,0, 36.45896,1,0,12,16
243,0,0,182,0, 35.86248,1,0,12,16
244,0,0,182,0, 36.09255,1,0,12,16
245,1,0,183,0, 35.06496,1,0,12,16
246,0,0,183,0, 36.05276,1,0,12,16
247,1,1,184,2, 35.78966,1,0,14,16
248,0,0,183,0, 35.56337,1,0,14,16
249,2,0,185,0, 35.1666,1,0,14,16
250,4,0,189,0, 34.8516,1,0,14,16
251,2,1,191,3, 35.53478,1,0,14,19
252,3,0,193,0, 36.80276,1,0,14,19
253,1,0,194,0, 36.0688,1,0,14,19
254,0,0,194,0, 36.00567,1,0,14,19
255,8,0,202,0, 36.50407,1,0,14,19
256,1,0,203,0, 36.41682,1,0,14,19
257,2,0,205,0, 36.67834,1,0,14,19
258,0,0,205,0, 37.53836,1,0,14,19
259,3,0,208,0, 38.02058,1,0,14,19
260,1,0,209,0, 37.75546,1,0,14,19
261,1,0,210,0, 37.88708,1,0,14,19
262,1,0,211,0, 37.24219,1,0,14,19
263,0,0,211,0, 36.17482,1,0,14,19
264,4,0,215,0, 37.07391,1,0,14,19
265,1,1,216,3, 35.404,1,0,14,22
266,1,0,216,0, 36.29667,1,0,14,22
267,1,0,217,0, 36.11349,1,0,14,22
268,0,0,217,0, 36.06953,1,0,14,22
269,0,0,217,0, 37.34796,1,0,14,22
270,1,1,218,1, 37.556,1,0,15,22
271,0,0,217,0, 36.78546,1,0,15,22
272,1,0,218,0, 36.31451,1,0,15,22
273,0,0,218,0, 35.81181,1,0,15,22
274,6,0,224,0, 36.04887,1,0,15,22
275,3,1,227,2, 35.92544,1,0,15,24
276,1,0,227,0, 35.86401,1,0,15,24
277,2,0,229,0, 36.06531,1,0,15,24
278,3,1,232,1, 36.10777,1,0,15,25
279,0,3,231,5, 35.45703,1,0,19,26
280,2,0,230,0, 35.79182,1,0,19,26
281,5,0,235,0, 35.26375,1,0,19,26
282,7,0,242,0, 35.4314,1,0,19,26
283,0,0,242,0, 34.99162,1,0,19,26
284,0,0,242,0, 35.55627,1,0,19,26
285,1,0,243,0, 35.2324,1,0,19,26
286,1,0,244,0, 34.49879,1,0,19,26
287,0,0,244,0, 34.08243,1,0,19,26
288,0,0,244,0, 34.34821,1,0,19,26
289,0,1,244,2, 33.45325,1,0,21,26
290,1,0,244,0, 33.5526,1,0,21,26
291,0,0,244,0, 32.89447,1,0,21,26
292,3,0,247,0, 33.56039,1,0,21,26
293,0,0,247,0, 33.88109,1,0,21,26
294,4,0,251,0, 33.99361,1,0,21,26
295,0,0,251,0, 33.58782,1,0,21,26
296,0,1,251,3, 33.50515,1,0,24,26
297,0,1,250,1, 33.03473,1,0,24,27
298,0,0,249,0, 33.08425,1,0,24,27
299,0,0,249,0, 33.29375,1,0,24,27
300,2,0,251,0, 32.69416,1,0,24,27
301,0,0,251,0, 31.94739,1,0,24,27
302,0,1,251,3, 31.67132,1,0,24,30
303,1,0,251,0, 31.20776,1,0,24,30
304,0,0,251,0, 31.51979,1,0,24,30
305,3,0,254,0, 31.53848,1,0,24,30
306,1,0,255,0, 32.12105,1,0,24,30
307,1,0,256,0, 32.77187,1,0,24,30
308,2,0,258,0, 33.41794,1,0,24,30
309,2,0,260,0, 33.88896,1,0,24,30
310,1,0,261,0, 34.07827,1,0,24,30
311,0,0,261,0, 34.9477,1,0,24,30
312,2,1,263,4, 35.03719,1,0,24,34
313,3,0,265,0, 34.52574,1,0,24,34
314,1,0,266,0, 35.19959,1,0,24,34
