Time(s),Total cars injected, Total cars arrived,Current cars in system, Exiting people,Total Sumo cars injected,Total Sumo cars arrived
4244,916,887,29,2261,0,0
4245,916,887,29,2261,0,0
4246,916,887,29,2261,0,0
4247,916,887,29,2261,0,0
4248,916,887,29,2261,0,0
4249,916,887,29,2261,0,0
4250,916,887,29,2261,0,0
4251,916,887,29,2261,0,0
4252,916,887,29,2261,0,0
4253,916,887,29,2261,0,0
4254,916,887,29,2261,0,0
4255,916,887,29,2261,0,0
4256,916,887,29,2261,0,0
4257,916,887,29,2261,0,0
4258,917,888,29,2264,0,0
4259,917,888,29,2264,0,0
4260,917,888,29,2264,0,0
4261,917,888,29,2264,0,0
4262,917,888,29,2264,0,0
4263,917,888,29,2264,0,0
4264,917,888,29,2264,0,0
4265,917,889,28,2269,0,0
4266,917,889,28,2269,0,0
4267,917,889,28,2269,0,0
4268,918,889,29,2269,0,0
4269,918,889,29,2269,0,0
4270,918,889,29,2269,0,0
4271,918,889,29,2269,0,0
4272,919,889,30,2269,0,0
4273,919,889,30,2269,0,0
4274,919,889,30,2269,0,0
4275,919,889,30,2269,0,0
4276,919,889,30,2269,0,0
4277,919,889,30,2269,0,0
4278,919,889,30,2269,0,0
4279,919,889,30,2269,0,0
4280,919,889,30,2269,0,0
4281,919,889,30,2269,0,0
4282,919,889,30,2269,0,0
4283,919,889,30,2269,0,0
4284,919,889,30,2269,0,0
4285,919,889,30,2269,0,0
4286,920,889,31,2269,0,0
4287,920,889,31,2269,0,0
4288,920,889,31,2269,0,0
4289,920,889,31,2269,0,0
4290,920,889,31,2269,0,0
4291,920,889,31,2269,0,0
4292,920,889,31,2269,0,0
4293,920,889,31,2269,0,0
4294,920,889,31,2269,0,0
4295,920,889,31,2269,0,0
4296,921,889,32,2269,0,0
4297,921,889,32,2269,0,0
4298,921,889,32,2269,0,0
4299,921,889,32,2269,0,0
4300,921,889,32,2269,0,0
4301,921,890,31,2271,0,0
4302,921,890,31,2271,0,0
4303,921,890,31,2271,0,0
4304,921,890,31,2271,0,0
4305,921,890,31,2271,0,0
4306,921,890,31,2271,0,0
4307,921,890,31,2271,0,0
4308,921,890,31,2271,0,0
4309,921,891,30,2274,0,0
4310,921,891,30,2274,0,0
4311,921,891,30,2274,0,0
4312,921,891,30,2274,0,0
4313,921,891,30,2274,0,0
4314,921,891,30,2274,0,0
4315,921,891,30,2274,0,0
4316,921,891,30,2274,0,0
4317,921,891,30,2274,0,0
4318,921,891,30,2274,0,0
4319,922,891,31,2274,0,0
4320,922,891,31,2274,0,0
4321,922,891,31,2274,0,0
4322,922,891,31,2274,0,0
4323,922,891,31,2274,0,0
4324,922,891,31,2274,0,0
4325,922,891,31,2274,0,0
4326,922,891,31,2274,0,0
4327,922,891,31,2274,0,0
4328,922,891,31,2274,0,0
4329,922,891,31,2274,0,0
4330,922,891,31,2274,0,0
4331,922,891,31,2274,0,0
4332,922,891,31,2274,0,0
4333,922,891,31,2274,0,0
4334,922,891,31,2274,0,0
4335,922,891,31,2274,0,0
4336,922,891,31,2274,0,0
4337,922,891,31,2274,0,0
4338,923,891,32,2274,0,0
4339,923,891,32,2274,0,0
4340,923,891,32,2274,0,0
4341,923,891,32,2274,0,0
4342,923,891,32,2274,0,0
4343,923,891,32,2274,0,0
4344,923,891,32,2274,0,0
4345,923,891,32,2274,0,0
4346,923,891,32,2274,0,0
4347,924,891,33,2274,0,0
4348,924,891,33,2274,0,0
4349,924,891,33,2274,0,0
4350,924,891,33,2274,0,0
4351,924,891,33,2274,0,0
4352,924,891,33,2274,0,0
4353,924,891,33,2274,0,0
4354,924,891,33,2274,0,0
4355,924,891,33,2274,0,0
4356,924,891,33,2274,0,0
4357,924,891,33,2274,0,0
4358,924,891,33,2274,0,0
4359,924,891,33,2274,0,0
4360,924,891,33,2274,0,0
4361,924,891,33,2274,0,0
4362,924,891,33,2274,0,0
4363,924,891,33,2274,0,0
4364,924,891,33,2274,0,0
4365,924,891,33,2274,0,0
4366,924,891,33,2274,0,0
4367,924,891,33,2274,0,0
4368,924,891,33,2274,0,0
4369,924,891,33,2274,0,0
4370,924,891,33,2274,0,0
4371,924,891,33,2274,0,0
4372,924,891,33,2274,0,0
4373,924,891,33,2274,0,0
4374,924,891,33,2274,0,0
4375,924,891,33,2274,0,0
4376,924,891,33,2274,0,0
4377,924,891,33,2274,0,0
4378,924,891,33,2274,0,0
4379,924,891,33,2274,0,0
4380,924,891,33,2274,0,0
4381,924,891,33,2274,0,0
4382,924,891,33,2274,0,0
4383,924,891,33,2274,0,0
4384,924,891,33,2274,0,0
4385,924,891,33,2274,0,0
4386,924,891,33,2274,0,0
4387,924,891,33,2274,0,0
4388,924,891,33,2274,0,0
4389,924,891,33,2274,0,0
4390,924,891,33,2274,0,0
4391,924,891,33,2274,0,0
4392,924,891,33,2274,0,0
4393,924,891,33,2274,0,0
4394,924,891,33,2274,0,0
4395,924,891,33,2274,0,0
4396,924,891,33,2274,0,0
4397,924,891,33,2274,0,0
4398,925,891,34,2274,0,0
4399,925,891,34,2274,0,0
4400,925,891,34,2274,0,0
4401,925,891,34,2274,0,0
4402,925,891,34,2274,0,0
4403,925,891,34,2274,0,0
4404,925,891,34,2274,0,0
4405,925,891,34,2274,0,0
4406,925,891,34,2274,0,0
4407,925,892,33,2278,0,0
4408,925,892,33,2278,0,0
4409,925,893,32,2282,0,0
4410,925,893,32,2282,0,0
4411,926,893,33,2282,0,0
4412,926,893,33,2282,0,0
4413,927,893,34,2282,0,0
4414,927,893,34,2282,0,0
4415,927,893,34,2282,0,0
4416,927,893,34,2282,0,0
4417,927,893,34,2282,0,0
4418,927,893,34,2282,0,0
4419,928,893,35,2282,0,0
4420,928,893,35,2282,0,0
4421,928,893,35,2282,0,0
4422,929,893,36,2282,0,0
4423,929,893,36,2282,0,0
4424,929,893,36,2282,0,0
4425,929,893,36,2282,0,0
4426,929,893,36,2282,0,0
4427,929,893,36,2282,0,0
4428,929,893,36,2282,0,0
4429,929,893,36,2282,0,0
4430,929,893,36,2282,0,0
4431,929,893,36,2282,0,0
4432,929,893,36,2282,0,0
4433,929,893,36,2282,0,0
4434,929,893,36,2282,0,0
4435,929,893,36,2282,0,0
4436,929,893,36,2282,0,0
4437,929,893,36,2282,0,0
4438,929,893,36,2282,0,0
4439,929,893,36,2282,0,0
4440,929,893,36,2282,0,0
4441,929,893,36,2282,0,0
4442,929,894,35,2286,0,0
4443,929,895,34,2289,0,0
4444,929,895,34,2289,0,0
4445,929,895,34,2289,0,0
4446,929,895,34,2289,0,0
4447,929,895,34,2289,0,0
4448,929,895,34,2289,0,0
4449,929,895,34,2289,0,0
4450,929,895,34,2289,0,0
4451,929,895,34,2289,0,0
4452,929,895,34,2289,0,0
4453,929,895,34,2289,0,0
4454,929,895,34,2289,0,0
4455,929,895,34,2289,0,0
4456,929,895,34,2289,0,0
4457,929,895,34,2289,0,0
4458,929,895,34,2289,0,0
4459,929,895,34,2289,0,0
4460,929,895,34,2289,0,0
4461,929,895,34,2289,0,0
4462,929,895,34,2289,0,0
4463,929,895,34,2289,0,0
4464,929,895,34,2289,0,0
4465,929,895,34,2289,0,0
4466,929,895,34,2289,0,0
4467,929,895,34,2289,0,0
4468,929,895,34,2289,0,0
4469,929,895,34,2289,0,0
4470,929,895,34,2289,0,0
4471,929,895,34,2289,0,0
4472,929,895,34,2289,0,0
4473,929,895,34,2289,0,0
4474,929,895,34,2289,0,0
4475,930,895,35,2289,0,0
4476,930,895,35,2289,0,0
4477,930,895,35,2289,0,0
4478,930,895,35,2289,0,0
4479,930,895,35,2289,0,0
4480,930,895,35,2289,0,0
4481,930,895,35,2289,0,0
4482,930,895,35,2289,0,0
4483,930,895,35,2289,0,0
4484,930,895,35,2289,0,0
4485,930,895,35,2289,0,0
4486,930,895,35,2289,0,0
4487,930,895,35,2289,0,0
4488,930,895,35,2289,0,0
4489,930,895,35,2289,0,0
4490,930,895,35,2289,0,0
4491,931,895,36,2289,0,0
4492,931,895,36,2289,0,0
4493,931,895,36,2289,0,0
4494,931,895,36,2289,0,0
4495,931,895,36,2289,0,0
4496,931,895,36,2289,0,0
4497,931,895,36,2289,0,0
4498,931,895,36,2289,0,0
4499,931,895,36,2289,0,0
4500,931,895,36,2289,0,0
4501,931,895,36,2289,0,0
4502,931,895,36,2289,0,0
4503,931,895,36,2289,0,0
4504,931,895,36,2289,0,0
4505,931,895,36,2289,0,0
4506,932,895,37,2289,0,0
4507,932,895,37,2289,0,0
4508,932,895,37,2289,0,0
4509,932,895,37,2289,0,0
4510,932,895,37,2289,0,0
4511,932,895,37,2289,0,0
4512,932,895,37,2289,0,0
4513,932,895,37,2289,0,0
4514,932,895,37,2289,0,0
4515,932,895,37,2289,0,0
4516,932,895,37,2289,0,0
4517,932,895,37,2289,0,0
4518,932,895,37,2289,0,0
4519,932,895,37,2289,0,0
4520,932,895,37,2289,0,0
4521,932,895,37,2289,0,0
4522,932,895,37,2289,0,0
4523,932,895,37,2289,0,0
4524,932,895,37,2289,0,0
4525,933,895,38,2289,0,0
4526,933,895,38,2289,0,0
4527,933,895,38,2289,0,0
4528,933,895,38,2289,0,0
4529,933,895,38,2289,0,0
4530,933,895,38,2289,0,0
4531,933,895,38,2289,0,0
4532,933,895,38,2289,0,0
4533,933,895,38,2289,0,0
4534,933,895,38,2289,0,0
4535,933,895,38,2289,0,0
4536,933,895,38,2289,0,0
4537,933,895,38,2289,0,0
4538,933,895,38,2289,0,0
4539,933,895,38,2289,0,0
4540,933,895,38,2289,0,0
4541,933,895,38,2289,0,0
4542,933,895,38,2289,0,0
4543,933,895,38,2289,0,0
4544,933,895,38,2289,0,0
4545,933,895,38,2289,0,0
4546,933,895,38,2289,0,0
4547,933,895,38,2289,0,0
4548,934,895,39,2289,0,0
4549,934,895,39,2289,0,0
4550,934,895,39,2289,0,0
