Time(s),Households left,People left,Total households responded, Total people responded,Total households reached car,Total people reached car,Total cars activated,Avg. walking dist.
2150,163,416,840,2142,837,2135,837,49.15968
2151,163,416,840,2142,837,2135,837,49.15968
2152,163,416,840,2142,837,2135,837,49.15968
2153,163,416,840,2142,837,2135,837,49.15968
2154,163,416,840,2142,837,2135,837,49.15968
2155,163,416,840,2142,837,2135,837,49.15968
2156,163,416,840,2142,837,2135,837,49.15968
2157,163,416,840,2142,837,2135,837,49.15968
2158,163,416,840,2142,837,2135,837,49.15968
2159,163,416,840,2142,837,2135,837,49.15968
2160,163,416,840,2142,837,2135,837,49.15968
2161,163,416,840,2142,837,2135,837,49.15968
2162,163,416,840,2142,837,2135,837,49.15968
2163,163,416,840,2142,837,2135,837,49.15968
2164,163,416,840,2142,837,2135,837,49.15968
2165,163,416,840,2142,837,2135,837,49.15968
2166,163,416,840,2142,837,2135,837,49.15968
2167,163,416,840,2142,837,2135,837,49.15968
2168,163,416,840,2142,837,2135,837,49.15968
2169,163,416,840,2142,837,2135,837,49.15968
2170,163,416,840,2142,837,2135,837,49.15968
2171,163,416,840,2142,837,2135,837,49.15968
2172,163,416,840,2142,837,2135,837,49.15968
2173,163,416,840,2142,837,2135,837,49.15968
2174,163,416,840,2142,837,2135,837,49.15968
2175,163,416,840,2142,837,2135,837,49.15968
2176,163,416,840,2142,837,2135,837,49.15968
2177,163,416,840,2142,837,2135,837,49.15968
2178,163,416,840,2142,837,2135,837,49.15968
2179,163,416,840,2142,837,2135,837,49.15968
2180,163,416,840,2142,837,2135,837,49.15968
2181,163,416,840,2142,837,2135,837,49.15968
2182,162,412,840,2142,838,2139,838,49.15968
2183,162,412,840,2142,838,2139,838,49.16066
2184,162,412,840,2142,838,2139,838,49.16066
2185,162,412,840,2142,838,2139,838,49.16066
2186,162,412,840,2142,838,2139,838,49.16066
2187,162,412,840,2142,838,2139,838,49.16066
2188,162,412,840,2142,838,2139,838,49.16066
2189,162,412,840,2142,838,2139,838,49.16066
2190,162,412,840,2142,838,2139,838,49.16066
2191,162,412,840,2142,838,2139,838,49.16066
2192,162,412,840,2142,838,2139,838,49.16066
2193,161,410,840,2142,839,2141,839,49.16066
2194,161,410,840,2142,839,2141,839,49.17407
2195,161,410,840,2142,839,2141,839,49.17407
2196,161,410,840,2142,839,2141,839,49.17407
2197,161,410,841,2144,839,2141,839,49.17407
2198,161,410,841,2144,839,2141,839,49.17407
2199,161,410,841,2144,839,2141,839,49.17407
2200,161,410,841,2144,839,2141,839,49.17407
2201,161,410,842,2147,839,2141,839,49.17407
2202,161,410,842,2147,839,2141,839,49.17407
2203,161,410,842,2147,839,2141,839,49.17407
2204,161,410,842,2147,839,2141,839,49.17407
2205,161,410,842,2147,839,2141,839,49.17407
2206,161,410,842,2147,839,2141,839,49.17407
2207,161,410,842,2147,839,2141,839,49.17407
2208,161,410,842,2147,839,2141,839,49.17407
2209,161,410,842,2147,839,2141,839,49.17407
2210,161,410,842,2147,839,2141,839,49.17407
2211,161,410,842,2147,839,2141,839,49.17407
2212,161,410,842,2147,839,2141,839,49.17407
2213,161,410,842,2147,839,2141,839,49.17407
2214,161,410,842,2147,839,2141,839,49.17407
2215,161,410,843,2151,839,2141,839,49.17407
2216,161,410,843,2151,839,2141,839,49.17407
2217,161,410,843,2151,839,2141,839,49.17407
2218,161,410,843,2151,839,2141,839,49.17407
2219,161,410,843,2151,839,2141,839,49.17407
2220,161,410,843,2151,839,2141,839,49.17407
2221,161,410,843,2151,839,2141,839,49.17407
2222,161,410,843,2151,839,2141,839,49.17407
2223,161,410,843,2151,839,2141,839,49.17407
2224,161,410,843,2151,839,2141,839,49.17407
2225,161,410,843,2151,839,2141,839,49.17407
2226,161,410,843,2151,839,2141,839,49.17407
2227,161,410,843,2151,839,2141,839,49.17407
2228,161,410,843,2151,839,2141,839,49.17407
2229,161,410,843,2151,839,2141,839,49.17407
2230,161,410,843,2151,839,2141,839,49.17407
2231,161,410,843,2151,839,2141,839,49.17407
2232,161,410,843,2151,839,2141,839,49.17407
2233,161,410,843,2151,839,2141,839,49.17407
2234,161,410,843,2151,839,2141,839,49.17407
2235,161,410,843,2151,839,2141,839,49.17407
2236,161,410,844,2153,839,2141,839,49.17407
2237,161,410,844,2153,839,2141,839,49.17407
2238,161,410,844,2153,839,2141,839,49.17407
2239,161,410,844,2153,839,2141,839,49.17407
2240,161,410,844,2153,839,2141,839,49.17407
2241,161,410,844,2153,839,2141,839,49.17407
2242,160,408,844,2153,840,2143,840,49.17407
2243,159,407,844,2153,841,2144,841,49.16368
2244,159,407,844,2153,841,2144,841,49.2495
2245,159,407,844,2153,841,2144,841,49.2495
2246,159,407,844,2153,841,2144,841,49.2495
2247,159,407,844,2153,841,2144,841,49.2495
2248,159,407,844,2153,841,2144,841,49.2495
2249,158,405,844,2153,842,2146,842,49.2495
2250,158,405,844,2153,842,2146,842,49.20398
2251,158,405,844,2153,842,2146,842,49.20398
2252,157,402,844,2153,843,2149,843,49.20398
2253,157,402,844,2153,843,2149,843,49.20213
2254,156,398,844,2153,844,2153,844,49.20213
2255,156,398,844,2153,844,2153,844,49.18999
2256,156,398,844,2153,844,2153,844,49.18999
2257,156,398,844,2153,844,2153,844,49.18999
2258,156,398,844,2153,844,2153,844,49.18999
2259,156,398,844,2153,844,2153,844,49.18999
2260,156,398,844,2153,844,2153,844,49.18999
2261,156,398,845,2156,844,2153,844,49.18999
2262,156,398,845,2156,844,2153,844,49.18999
2263,156,398,845,2156,844,2153,844,49.18999
2264,156,398,845,2156,844,2153,844,49.18999
2265,156,398,845,2156,844,2153,844,49.18999
2266,156,398,845,2156,844,2153,844,49.18999
2267,156,398,845,2156,844,2153,844,49.18999
2268,156,398,845,2156,844,2153,844,49.18999
2269,156,398,845,2156,844,2153,844,49.18999
